CustomerID,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Cluster,Cluster_kmeans_de,Label_Bisnis
12346.0,326,1,74215,77183.6,77183.6,1,0.0,326.0,1,1.0,77183.6,4,4,CAUTIOUS CONSUMER
12347.0,2,7,2458,4310.0,23.68131868131868,103,60.833333333333336,62.833333333333336,0,0.0,354.24657534246575,3,3,UNCERTAIN BUYER
12348.0,75,4,2332,1437.24,53.23111111111111,21,94.0,169.0,0,0.0,152.89787234042552,3,3,UNCERTAIN BUYER
12349.0,19,1,630,1457.55,20.24375,72,0.0,19.0,0,0.0,1457.55,3,3,UNCERTAIN BUYER
12350.0,310,1,196,294.4,18.4,16,0.0,310.0,0,0.0,294.4,3,3,UNCERTAIN BUYER
12352.0,36,7,526,1385.74,17.996623376623376,57,43.333333333333336,79.33333333333334,0,1.0,159.89307692307693,3,3,UNCERTAIN BUYER
12353.0,204,1,20,89.0,22.25,4,0.0,204.0,0,0.0,89.0,2,2,HIGH-EXPECTATION (UK)
12354.0,232,1,530,1079.4,18.610344827586207,58,0.0,232.0,0,0.0,1079.4,3,3,UNCERTAIN BUYER
12355.0,214,1,240,459.4,35.33846153846154,13,0.0,214.0,0,0.0,459.4,3,3,UNCERTAIN BUYER
12356.0,23,3,1573,2487.43,42.88672413793103,52,151.0,174.0,0,0.0,247.0956953642384,3,3,UNCERTAIN BUYER
12357.0,33,1,2708,6207.67,47.38679389312977,131,0.0,33.0,0,0.0,6207.67,3,3,UNCERTAIN BUYER
12358.0,2,2,242,928.06,54.59176470588236,12,149.0,151.0,0,0.0,186.85771812080537,3,3,UNCERTAIN BUYER
12359.0,58,4,1622,6372.58,25.695887096774197,214,91.33333333333331,149.33333333333331,0,2.0,697.7277372262774,3,3,UNCERTAIN BUYER
12360.0,52,3,1156,2302.06,18.27031746031746,104,74.0,126.0,0,0.0,466.63378378378377,3,3,UNCERTAIN BUYER
12361.0,287,1,90,174.9,19.433333333333334,9,0.0,287.0,0,0.0,174.9,2,2,HIGH-EXPECTATION (UK)
12362.0,3,10,2197,4737.23,18.5048046875,200,32.44444444444444,35.44444444444444,0,3.0,486.7017123287672,4,4,CAUTIOUS CONSUMER
12363.0,110,2,408,552.0,24.0,23,132.0,242.0,0,0.0,125.45454545454544,3,3,UNCERTAIN BUYER
12364.0,8,4,1499,1208.1,14.914814814814816,69,34.666666666666664,42.66666666666666,0,0.0,348.4903846153846,3,3,UNCERTAIN BUYER
12365.0,291,1,173,320.69,15.27095238095238,21,0.0,291.0,0,0.0,320.69,3,3,UNCERTAIN BUYER
12367.0,4,1,172,150.9,15.09,10,0.0,4.0,0,0.0,150.9,0,0,HIGH-VALUE (VIP)
12370.0,51,4,2350,3425.69,20.63668674698795,142,103.0,154.0,0,0.0,332.5912621359223,3,3,UNCERTAIN BUYER
12371.0,60,1,582,1527.96,24.644516129032255,62,0.0,60.0,0,0.0,1527.96,3,3,UNCERTAIN BUYER
12372.0,72,3,788,1196.04,24.408979591836733,33,112.0,184.0,0,0.0,160.18392857142857,3,3,UNCERTAIN BUYER
12373.0,311,1,196,324.6,24.96923076923077,13,0.0,311.0,0,0.0,324.6,3,3,UNCERTAIN BUYER
12374.0,25,1,339,622.93,19.4665625,32,0.0,25.0,0,0.0,622.93,3,3,UNCERTAIN BUYER
12375.0,11,2,176,377.5,25.166666666666668,13,87.0,98.0,0,1.0,130.17241379310346,3,3,UNCERTAIN BUYER
12377.0,315,2,942,1548.12,20.37,71,39.0,354.0,0,0.0,1190.8615384615384,3,3,UNCERTAIN BUYER
12378.0,130,1,2529,4008.62,18.30420091324201,219,0.0,130.0,0,0.0,4008.62,3,3,UNCERTAIN BUYER
12379.0,82,2,402,777.24,20.453684210526315,38,88.0,170.0,0,1.0,264.96818181818185,3,3,UNCERTAIN BUYER
12380.0,22,4,1110,2427.81,24.2781,76,54.66666666666666,76.66666666666666,0,1.0,444.1115853658536,3,3,UNCERTAIN BUYER
12381.0,5,3,797,1474.81,17.985487804878048,69,57.5,62.5,0,1.0,384.73304347826087,3,3,UNCERTAIN BUYER
12383.0,185,5,1518,1628.56,17.325106382978724,83,41.75,226.75,0,1.0,292.5556886227545,3,3,UNCERTAIN BUYER
12384.0,29,2,122,425.27,17.010800000000003,25,92.0,121.0,0,1.0,138.675,3,3,UNCERTAIN BUYER
12386.0,338,2,354,401.9,40.19,10,29.0,367.0,0,0.0,401.9,3,3,UNCERTAIN BUYER
12388.0,16,6,1462,2780.66,27.8066,57,62.2,78.2,0,0.0,268.2308681672026,3,3,UNCERTAIN BUYER
12390.0,80,1,350,504.84,16.28516129032258,31,0.0,80.0,0,0.0,504.84,3,3,UNCERTAIN BUYER
12391.0,22,1,300,460.89,4.6089,92,0.0,22.0,0,0.0,460.89,3,3,UNCERTAIN BUYER
12393.0,72,4,816,1582.6,24.728125,47,86.66666666666667,158.66666666666669,0,0.0,182.60769230769236,3,3,UNCERTAIN BUYER
12394.0,64,2,808,1080.48,43.2192,25,153.0,217.0,0,0.0,211.85882352941175,3,3,UNCERTAIN BUYER
12395.0,19,12,2097,2682.63,18.629375,90,31.90909090909091,50.90909090909091,0,3.0,229.28461538461545,3,3,UNCERTAIN BUYER
12397.0,36,2,1250,2214.9,17.86209677419355,109,99.0,135.0,0,0.0,671.1818181818182,3,3,UNCERTAIN BUYER
12398.0,46,1,1389,1435.66,17.091190476190476,84,0.0,46.0,0,0.0,1435.66,3,3,UNCERTAIN BUYER
12399.0,119,4,1173,1033.65,18.793636363636367,46,47.333333333333336,166.33333333333334,0,0.0,218.3767605633803,3,3,UNCERTAIN BUYER
